service_date,day_type,bus,rail_boardings,total_rides,peak_offpeak,load_factor
2001-01-01,U,297192,126455,423647,offpeak,4236.47
2001-01-02,W,780827,501952,1282779,peak,12827.79
2001-01-03,W,824923,536432,1361355,peak,13613.55
2001-01-04,W,870021,550011,1420032,peak,14200.32
2001-01-05,W,890426,557917,1448343,peak,14483.43
2001-01-06,A,577401,255356,832757,offpeak,8327.57
2001-01-07,U,375831,169825,545656,offpeak,5456.56
2001-01-08,W,985221,590706,1575927,peak,15759.27
2001-01-09,W,978377,599905,1578282,peak,15782.82
2001-01-10,W,984884,602052,1586936,peak,15869.36
2001-01-11,W,995561,607503,1603064,peak,16030.64
2001-01-12,W,1018985,605252,1624237,peak,16242.37
2001-01-13,A,591791,270056,861847,offpeak,8618.47
2001-01-14,U,373091,174842,547933,offpeak,5479.33
2001-01-15,W,675845,412149,1087994,peak,10879.94
2001-01-16,W,1024367,622163,1646530,peak,16465.3
2001-01-17,W,1018690,620343,1639033,peak,16390.33
2001-01-18,W,1006996,618832,1625828,peak,16258.28
2001-01-19,W,909964,583851,1493815,peak,14938.15
2001-01-20,A,582348,263815,846163,offpeak,8461.63
2001-01-21,U,378381,172107,550488,offpeak,5504.88
2001-01-22,W,1005936,598777,1604713,peak,16047.13
2001-01-23,W,1019983,610352,1630335,peak,16303.35
2001-01-24,W,991661,606835,1598496,peak,15984.96
2001-01-25,W,1004257,609877,1614134,peak,16141.34
2001-01-26,W,965324,597039,1562363,peak,15623.63
2001-01-27,A,590836,268078,858914,offpeak,8589.14
2001-01-28,U,368819,174434,543253,offpeak,5432.53
2001-01-29,W,953532,587052,1540584,peak,15405.84
2001-01-30,W,982046,607858,1589904,peak,15899.04
2001-01-31,W,999392,610508,1609900,peak,16099.0
2001-02-01,W,1054608,615268,1669876,peak,16698.76
2001-02-02,W,966701,577767,1544468,peak,15444.68
2001-02-03,A,611703,263612,875315,offpeak,8753.15
2001-02-04,U,404212,178398,582610,offpeak,5826.1
2001-02-05,W,1045944,600588,1646532,peak,16465.32
2001-02-06,W,1039393,612435,1651828,peak,16518.28
2001-02-07,W,1015059,609022,1624081,peak,16240.81
2001-02-08,W,1007760,610237,1617997,peak,16179.97
2001-02-09,W,970826,593354,1564180,peak,15641.8
2001-02-10,A,605404,271313,876717,offpeak,8767.17
2001-02-11,U,405433,178810,584243,offpeak,5842.43
2001-02-12,W,872330,539393,1411723,peak,14117.23
2001-02-13,W,1050834,622753,1673587,peak,16735.87
2001-02-14,W,1004304,610966,1615270,peak,16152.7
2001-02-15,W,1028938,613323,1642261,peak,16422.61
2001-02-16,W,1033040,601418,1634458,peak,16344.58
2001-02-17,A,591717,269294,861011,offpeak,8610.11
2001-02-18,U,388788,176855,565643,offpeak,5656.43
2001-02-19,W,782447,457891,1240338,peak,12403.38
2001-02-20,W,1035400,610284,1645684,peak,16456.84
2001-02-21,W,986212,600133,1586345,peak,15863.45
2001-02-22,W,986399,606302,1592701,peak,15927.01
2001-02-23,W,1024235,602352,1626587,peak,16265.87
2001-02-24,A,505193,246795,751988,offpeak,7519.88
2001-02-25,U,351637,172132,523769,offpeak,5237.69
2001-02-26,W,1009329,609256,1618585,peak,16185.85
2001-02-27,W,1000630,609305,1609935,peak,16099.35
2001-02-28,W,990416,610013,1600429,peak,16004.29
2001-03-01,W,1051889,618440,1670329,peak,16703.29
2001-03-02,W,1062234,611578,1673812,peak,16738.12
2001-03-03,A,678870,286786,965656,offpeak,9656.56
2001-03-04,U,385978,178292,564270,offpeak,5642.7
2001-03-05,W,863086,549759,1412845,peak,14128.45
2001-03-06,W,1013530,603561,1617091,peak,16170.91
2001-03-07,W,1028462,616666,1645128,peak,16451.28
2001-03-08,W,1000946,611371,1612317,peak,16123.17
2001-03-09,W,1038368,606672,1645040,peak,16450.4
2001-03-10,A,633472,283251,916723,offpeak,9167.23
2001-03-11,U,410081,188228,598309,offpeak,5983.09
2001-03-12,W,979411,588857,1568268,peak,15682.68
2001-03-13,W,1017685,611347,1629032,peak,16290.32
2001-03-14,W,1025283,619417,1644700,peak,16447.0
2001-03-15,W,960667,596612,1557279,peak,15572.79
2001-03-16,W,923613,583359,1506972,peak,15069.72
2001-03-17,A,602158,343893,946051,offpeak,9460.51
2001-03-18,U,412146,194257,606403,offpeak,6064.03
2001-03-19,W,1021700,602469,1624169,peak,16241.69
2001-03-20,W,1034388,618340,1652728,peak,16527.28
2001-03-21,W,1029332,616764,1646096,peak,16460.96
2001-03-22,W,1030741,617815,1648556,peak,16485.56
2001-03-23,W,1030685,605605,1636290,peak,16362.9
2001-03-24,A,604139,277028,881167,offpeak,8811.67
2001-03-25,U,348817,170742,519559,offpeak,5195.59
2001-03-26,W,989316,583176,1572492,peak,15724.92
2001-03-27,W,1017904,600914,1618818,peak,16188.18
2001-03-28,W,1007699,601999,1609698,peak,16096.98
2001-03-29,W,1020098,605027,1625125,peak,16251.25
2001-03-30,W,978244,590403,1568647,peak,15686.47
2001-03-31,A,626223,280950,907173,offpeak,9071.73
2001-04-01,U,417716,192717,610433,offpeak,6104.33
2001-04-02,W,1023629,611098,1634727,peak,16347.27
2001-04-03,W,1057275,613993,1671268,peak,16712.68
2001-04-04,W,1047634,625348,1672982,peak,16729.82
2001-04-05,W,973118,606535,1579653,peak,15796.53
2001-04-06,W,1015046,611352,1626398,peak,16263.98
2001-04-07,A,642265,297971,940236,offpeak,9402.36
2001-04-08,U,437035,200720,637755,offpeak,6377.55
2001-04-09,W,998290,596418,1594708,peak,15947.08
2001-04-10,W,1024817,613311,1638128,peak,16381.28
2001-04-11,W,985906,606764,1592670,peak,15926.7
2001-04-12,W,991795,608691,1600486,peak,16004.86
2001-04-13,W,865706,527116,1392822,peak,13928.22
2001-04-14,A,628526,279728,908254,offpeak,9082.54
2001-04-15,U,364972,163191,528163,offpeak,5281.63
2001-04-16,W,859713,564614,1424327,peak,14243.27
2001-04-17,W,877834,583859,1461693,peak,14616.93
2001-04-18,W,907539,599600,1507139,peak,15071.39
2001-04-19,W,917518,596505,1514023,peak,15140.23
2001-04-20,W,922082,590659,1512741,peak,15127.41
2001-04-21,A,603039,293701,896740,offpeak,8967.4
2001-04-22,U,384255,185526,569781,offpeak,5697.81
2001-04-23,W,979788,590446,1570234,peak,15702.34
2001-04-24,W,1031150,618513,1649663,peak,16496.63
2001-04-25,W,977794,609447,1587241,peak,15872.41
2001-04-26,W,1028140,624617,1652757,peak,16527.57
2001-04-27,W,1034472,610723,1645195,peak,16451.95
2001-04-28,A,624970,289747,914717,offpeak,9147.17
2001-04-29,U,423377,200002,623379,offpeak,6233.79
2001-04-30,W,1008390,600424,1608814,peak,16088.14
2001-05-01,W,1067496,632996,1700492,peak,17004.92
2001-05-02,W,1034088,627894,1661982,peak,16619.82
2001-05-03,W,1065048,634792,1699840,peak,16998.4
2001-05-04,W,1046692,621087,1667779,peak,16677.79
2001-05-05,A,637957,307025,944982,offpeak,9449.82
2001-05-06,U,417760,206450,624210,offpeak,6242.1
2001-05-07,W,1007381,598338,1605719,peak,16057.19
2001-05-08,W,1044379,621604,1665983,peak,16659.83
