bus,total_rides
821674,4612023
1076741,3720208
1074577,3716334
1090878,3715814
1083300,3714884
1072848,3711658
1068602,3690326
1073195,3687474
1091676,3685420
1058024,3683854
1061301,3665318
1066867,3649684
1054603,3629040
1060560,3626894
1055199,3624006
1054251,3603306
1081236,3581996
1011085,3569166
1019401,3565914
1058730,3524493
1027078,3523156
993735,3504058
987878,3453724
1040926,3380362
946374,3361160
898889,3359946
1019568,3357504
1036465,3344848
839720,3318102
839507,3313170
1008328,3292596
1036716,3287889
854968,3275872
985806,3274502
846179,3251070
833052,3246256
1000931,3245130
968715,3239937
855793,3237914
966314,3234420
838958,3233774
855553,3217308
813032,3212916
981933,3212814
972155,3212275
819409,3210098
837907,3201012
831398,3195897
844384,3194618
958790,3183292
825700,3182684
856556,3167618
943778,3165869
912722,3159662
815885,3152600
828927,3137840
814560,3137263
952574,3136687
813597,3129585
836929,3124602
821289,3122862
810857,3115006
971162,3110627
824805,3100264
884567,3091921
810122,3080620
884516,3065973
781400,3065183
857528,3053402
759254,3043418
803242,3039752
878842,2992292
798129,2910790
858709,2824569
1143777,2049519
798901,1945417
1152333,1938738
1115762,1926454
1197836,1922280
1211992,1918959
1174967,1918527
1108031,1914976
1172871,1913446
1180204,1911656
1099004,1909088
1169932,1909073
1087075,1901403
1117666,1901044
1168626,1899970
1048504,1896766
1090006,1895450
1106785,1893887
1082616,1893140
1085498,1892749
1176865,1889657
1092827,1887858
1167063,1886968
1081481,1886332
1169810,1885895
1088484,1884092
1080818,1884089
1094671,1882338
1162318,1882321
1166556,1882316
1093445,1881040
1087124,1880520
1093806,1879321
1079860,1878014
1069580,1877923
1166955,1877259
1101495,1876619
1156490,1876296
1088775,1875286
1081929,1874922
1162723,1872402
1156522,1872181
1090762,1870984
1163232,1870602
1171756,1870301
1165787,1870206
1178414,1869165
1059957,1866740
1055790,1866616
1166019,1864902
1161478,1864668
1065181,1864020
1067152,1863593
1116811,1863443
1050318,1862481
1148720,1862292
1098741,1861634
1047323,1860832
1081742,1860727
1100251,1860378
1158146,1859449
1078395,1858764
1101066,1858217
1114404,1857675
1112462,1857642
1064006,1857461
1057006,1855636
1067536,1854400
1051902,1853754
1095431,1853165
1079256,1852926
1086032,1852648
1142793,1852188
1075641,1852135
1089544,1850999
1087551,1850222
1079072,1849900
1057430,1849655
1073368,1849517
1149832,1849165
1081564,1848475
1057000,1848412
1070710,1848311
1144729,1848256
1071312,1848233
1043281,1848090
1077803,1847778
1111421,1847673
1041341,1847200
1076129,1846614
1058314,1844991
1041043,1844829
1067116,1844827
1135299,1844662
1115027,1844198
1137377,1843462
1077675,1842214
1108929,1841778
993576,1841626
1036536,1839834
1077184,1839737
1051323,1839036
1084952,1838657
1095244,1838101
955633,1837821
1049035,1837448
1068594,1836708
1089263,1836532
1069691,1836392
1061833,1836386
1039677,1836343
1010778,1835983
1053498,1835831
1141745,1835260
1059509,1835000
1067715,1834849
1034561,1834665
1077313,1834457
1077578,1833787
1136686,1833698
1140716,1832745
1054307,1832412
1034355,1832271
1060370,1831664
1056846,1831396
1047538,1831248
1140486,1830842
993931,1829642
1084176,1828654
1043067,1827445
950953,1826745
1023786,1826609
1038570,1826342
1033797,1826102
997248,1825921
1027919,1825857
1110910,1825773
1114979,1825636
1111089,1825485
1050150,1825239
1062411,1825175
1062602,1824876
1061219,1824744
1070447,1824625
970204,1824565
979074,1824403
1066348,1823669
1078904,1823116
1059826,1823103
1042048,1823032
1133103,1822317
1049100,1822091
1083692,1822024
947941,1821688
1102842,1821266
1067602,1821255
1120112,1821055
1123289,1820283
1141300,1820034
1050908,1819894
1129560,1819829
1055644,1819307
1044828,1818863
1068204,1818567
981039,1818198
1007402,1818067
990008,1817908
990209,1817879
987382,1817842
1133869,1816992
1071861,1816779
1073013,1816715
1073425,1816579
1101985,1816126
967453,1816044
1077348,1815732
1026114,1815703
1092412,1815535
1060720,1815256
1056731,1815153
1025838,1815038
951827,1815036
1067467,1815010
1075076,1814740
1053786,1814697
1099979,1813828
1060557,1813610
1130467,1813253
1131494,1813213
1054969,1813182
894311,1813046
1053206,1812277
1023073,1812082
1096369,1811997
1102861,1811858
1099145,1811421
1069024,1811361
959798,1811221
1060257,1811200
919828,1811185
1059305,1810964
955896,1810498
1129443,1810122
1115651,1810096
1061041,1810084
1024605,1809921
956026,1809852
1024958,1809849
1033555,1809710
1054367,1809068
1102805,1809006
1097851,1808898
1067844,1808837
975664,1808273
969095,1808020
1065885,1807844
1048608,1807696
1069324,1807597
1097428,1807365
959217,1807231
1098839,1807230
1026469,1807220
946290,1807099
1092443,1807002
1023243,1806714
1047309,1806346
1077060,1805861
1051634,1805387
1094376,1805330
1052783,1805088
1106013,1805067
1095869,1804953
1044469,1804807
1049654,1804478
1121496,1804274
1068010,1804058
1117614,1803566
1038662,1803505
1110701,1801694
1056910,1801673
1048120,1801465
1043071,1801230
995821,1800823
1105418,1800740
1022579,1800610
1031503,1800432
1053153,1800269
996431,1799939
954519,1799585
1129578,1799395
997162,1799184
967808,1798945
1090515,1798656
1030362,1798397
985184,1798358
956176,1798211
1105710,1798035
1048003,1797891
1100852,1797636
1060619,1797468
956622,1797216
1017742,1796816
1034136,1796718
924272,1796595
942983,1795940
1036190,1795886
1025713,1795362
1058911,1795081
1061125,1795075
961323,1794923
972010,1794885
1065459,1794546
1035050,1794163
949303,1794004
1110747,1793988
942300,1793984
1031992,1793977
1041744,1793914
1116163,1793847
954800,1793836
1101916,1793582
1104193,1793523
898642,1793453
1067432,1793298
1119151,1792469
1098281,1792456
964802,1792384
1000885,1792093
936818,1792070
1052929,1791941
1094468,1791859
1055847,1791854
1098945,1791671
1059681,1791041
1051715,1790876
1067665,1790800
1091208,1790751
993612,1790733
1067730,1790700
1038779,1790613
1060398,1790393
947566,1790198
968013,1790106
1058544,1789959
1004276,1789897
1038052,1789776
1108038,1789774
1047638,1789451
949185,1789431
1040445,1789296
1099507,1789266
1062843,1789090
1108582,1788555
1033042,1788513
