bus,load_factor
1143777,20495.19
798901,19454.17
1152333,19387.38
1115762,19264.54
1197836,19222.8
1211992,19189.59
1174967,19185.27
1108031,19149.76
1172871,19134.46
1180204,19116.56
1099004,19090.88
1169932,19090.73
1087075,19014.03
1117666,19010.44
1168626,18999.7
1048504,18967.66
1090006,18954.5
1106785,18938.87
1082616,18931.4
1085498,18927.49
1176865,18896.57
1092827,18878.58
1167063,18869.68
1081481,18863.32
1169810,18858.95
1088484,18840.92
1080818,18840.89
1094671,18823.38
1162318,18823.21
1166556,18823.16
1093445,18810.4
1087124,18805.2
1093806,18793.21
1079860,18780.14
1069580,18779.23
1166955,18772.59
1101495,18766.19
1156490,18762.96
1088775,18752.86
1081929,18749.22
1162723,18724.02
1156522,18721.81
1090762,18709.84
1163232,18706.02
1171756,18703.01
1165787,18702.06
1178414,18691.65
1059957,18667.4
1055790,18666.16
1166019,18649.02
1161478,18646.68
1065181,18640.2
1067152,18635.93
1116811,18634.43
1050318,18624.81
1148720,18622.92
1098741,18616.34
1047323,18608.32
1081742,18607.27
1100251,18603.78
1076741,18601.04
1158146,18594.49
1078395,18587.64
1101066,18582.17
1074577,18581.67
1090878,18579.07
1114404,18576.75
1112462,18576.42
1064006,18574.61
1083300,18574.42
1072848,18558.29
1057006,18556.36
1067536,18544.0
1051902,18537.54
1095431,18531.65
1079256,18529.26
1086032,18526.48
1142793,18521.88
1075641,18521.35
1089544,18509.99
1087551,18502.22
1079072,18499.0
1057430,18496.55
1073368,18495.17
1149832,18491.65
1081564,18484.75
1057000,18484.12
1070710,18483.11
1144729,18482.56
1071312,18482.33
1043281,18480.9
1077803,18477.78
1111421,18476.73
1041341,18472.0
1076129,18466.14
1068602,18451.63
1058314,18449.91
1041043,18448.29
1067116,18448.27
1135299,18446.62
1115027,18441.98
1073195,18437.37
1137377,18434.62
1091676,18427.1
1077675,18422.14
1058024,18419.27
1108929,18417.78
993576,18416.26
1036536,18398.34
1077184,18397.37
1051323,18390.36
1084952,18386.57
1095244,18381.01
955633,18378.21
1049035,18374.48
1068594,18367.08
1089263,18365.32
1069691,18363.92
1061833,18363.86
1039677,18363.43
1010778,18359.83
1053498,18358.31
1141745,18352.6
1059509,18350.0
1067715,18348.49
1034561,18346.65
1077313,18344.57
1077578,18337.87
1136686,18336.98
1140716,18327.45
1061301,18326.59
1054307,18324.12
1034355,18322.71
1060370,18316.64
1056846,18313.96
1047538,18312.48
1140486,18308.42
993931,18296.42
1084176,18286.54
1043067,18274.45
950953,18267.45
1023786,18266.09
1038570,18263.42
1033797,18261.02
997248,18259.21
1027919,18258.57
1110910,18257.73
1114979,18256.36
1111089,18254.85
1050150,18252.39
1062411,18251.75
1062602,18248.76
1066867,18248.42
1061219,18247.44
1070447,18246.25
970204,18245.65
979074,18244.03
1066348,18236.69
1078904,18231.16
1059826,18231.03
1042048,18230.32
1133103,18223.17
1049100,18220.91
1083692,18220.24
947941,18216.88
1102842,18212.66
1067602,18212.55
1120112,18210.55
1123289,18202.83
1141300,18200.34
1050908,18198.94
1129560,18198.29
1055644,18193.07
1044828,18188.63
1068204,18185.67
981039,18181.98
1007402,18180.67
990008,18179.08
990209,18178.79
987382,18178.42
1133869,18169.92
1071861,18167.79
1073013,18167.15
1073425,18165.79
1101985,18161.26
967453,18160.44
1077348,18157.32
1026114,18157.03
1092412,18155.35
1060720,18152.56
1056731,18151.53
1025838,18150.38
951827,18150.36
1067467,18150.1
1075076,18147.4
1053786,18146.97
1054603,18145.2
1099979,18138.28
1060557,18136.1
1060560,18134.47
1130467,18132.53
1131494,18132.13
1054969,18131.82
894311,18130.46
1053206,18122.77
1023073,18120.82
1055199,18120.03
1096369,18119.97
1102861,18118.58
1099145,18114.21
1069024,18113.61
959798,18112.21
1060257,18112.0
919828,18111.85
1059305,18109.64
955896,18104.98
1129443,18101.22
1115651,18100.96
1061041,18100.84
1024605,18099.21
956026,18098.52
1024958,18098.49
1033555,18097.1
1054367,18090.68
1102805,18090.06
1097851,18088.98
1067844,18088.37
975664,18082.73
969095,18080.2
1065885,18078.44
1048608,18076.96
1069324,18075.97
1097428,18073.65
959217,18072.31
1098839,18072.3
1026469,18072.2
946290,18070.99
1092443,18070.02
1023243,18067.14
1047309,18063.46
1077060,18058.61
1051634,18053.87
1094376,18053.3
1052783,18050.88
1106013,18050.67
1095869,18049.53
1044469,18048.07
1049654,18044.78
1121496,18042.74
1068010,18040.58
1117614,18035.66
1038662,18035.05
1110701,18016.94
1056910,18016.73
1054251,18016.53
1048120,18014.65
1043071,18012.3
995821,18008.23
1105418,18007.4
1022579,18006.1
1031503,18004.32
1053153,18002.69
996431,17999.39
954519,17995.85
1129578,17993.95
997162,17991.84
967808,17989.45
1090515,17986.56
1030362,17983.97
985184,17983.58
956176,17982.11
1105710,17980.35
1048003,17978.91
1100852,17976.36
1060619,17974.68
956622,17972.16
1017742,17968.16
1034136,17967.18
924272,17965.95
942983,17959.4
1036190,17958.86
1025713,17953.62
1058911,17950.81
1061125,17950.75
961323,17949.23
972010,17948.85
1065459,17945.46
1035050,17941.63
949303,17940.04
1110747,17939.88
942300,17939.84
1031992,17939.77
1041744,17939.14
1116163,17938.47
954800,17938.36
1101916,17935.82
1104193,17935.23
898642,17934.53
1067432,17932.98
1119151,17924.69
1098281,17924.56
964802,17923.84
1000885,17920.93
936818,17920.7
1052929,17919.41
1094468,17918.59
1055847,17918.54
1098945,17916.71
1059681,17910.41
1081236,17909.98
1051715,17908.76
1067665,17908.0
1091208,17907.51
993612,17907.33
1067730,17907.0
1038779,17906.13
1060398,17903.93
947566,17901.98
968013,17901.06
1058544,17899.59
1004276,17898.97
1038052,17897.76
1108038,17897.74
1047638,17894.51
949185,17894.31
1040445,17892.96
1099507,17892.66
1062843,17890.9
1108582,17885.55
1033042,17885.13
966510,17883.33
1114521,17882.97
1042715,17880.11
963447,17879.01
1063835,17877.78
1054724,17876.9
1057820,17875.99
1108680,17875.22
1057375,17874.88
1121451,17874.65
1097897,17873.96
1033815,17873.27
1068494,17872.0
960506,17871.61
1064113,17870.52
1047270,17868.9
974582,17868.61
953091,17864.69
931769,17863.75
1092994,17861.36
1051823,17860.15
971693,17856.99
1034827,17856.75
1114917,17854.32
1050936,17850.24
1098849,17848.79
1050188,17847.5
1011085,17845.83
991316,17844.61
1049305,17844.28
1052160,17843.1
986527,17840.78
1009476,17840.69
1011416,17837.61
1034585,17832.03
1019401,17829.57
1087613,17829.26
977698,17828.8
956165,17827.85
1053439,17827.67
974269,17825.36
1057440,17825.35
951547,17824.19
867529,17822.97
1033503,17822.17
1050018,17820.81
1049114,17819.42
1030218,17817.43
1030407,17816.92
1033513,17814.93
942933,17814.28
960602,17813.66
1099218,17809.77
1034924,17809.38
1030518,17809.35
1028782,17809.17
1028698,17808.86
1118495,17804.64
1022360,17804.28
1077269,17802.78
1036368,17802.09
1058688,17799.64
1044807,17797.6
1093064,17797.0
1027027,17796.8
927771,17792.85
1110816,17788.73
949675,17787.63
1091710,17786.87
1051929,17782.88
982549,17780.6
942518,17779.21
1104182,17778.24
1090758,17777.3
959209,17776.04
1063234,17775.58
1012512,17775.55
1063003,17775.05
1099740,17774.61
1096741,17771.06
1091052,17770.09
1117011,17769.0
1019369,17767.07
1067868,17767.06
1137817,17766.3
971255,17766.29
1003612,17765.86
1127401,17765.36
1112511,17763.13
972734,17762.95
1069326,17762.84
1114266,17755.46
1009624,17755.36
981085,17755.33
1022555,17753.97
1077275,17752.74
1082379,17752.47
1035100,17750.79
955810,17750.66
1002907,17745.1
968420,17745.09
1091226,17744.0
1015284,17743.43
1064543,17742.26
1122716,17742.0
1054398,17739.59
983110,17738.12
1115007,17736.37
1050000,17736.31
1104565,17735.36
1043354,17734.94
985012,17731.74
1064293,17730.83
1007775,17728.09
1091934,17726.66
935471,17725.32
940362,17725.03
1070331,17724.27
1003315,17723.39
1070466,17723.29
957961,17722.46
1026691,17721.86
1022704,17721.82
1081012,17721.16
1016089,17721.12
1063059,17715.85
1085278,17712.53
1031544,17712.11
1090043,17707.76
1005851,17706.99
1114498,17705.96
1043601,17701.52
907872,17699.77
1039329,17698.9
1093222,17691.58
1115690,17690.41
1033787,17686.26
1094833,17685.17
1076200,17685.04
1068977,17684.43
1040113,17682.91
1014884,17682.4
1031225,17681.61
1029285,17680.18
967610,17679.17
1085299,17678.87
980800,17677.43
1057767,17677.4
1036639,17676.63
1112033,17673.97
1011408,17672.96
1104713,17672.16
976102,17670.76
1092061,17667.69
956437,17667.39
888731,17665.45
1025684,17665.37
947353,17664.87
978017,17664.71
967167,17664.5
954675,17662.46
953363,17662.3
1026861,17660.56
1004272,17659.02
1039312,17656.72
1046143,17656.14
1092990,17655.62
1045556,17655.62
986995,17654.6
1029545,17651.84
1052994,17651.72
1096384,17649.07
1074183,17648.53
1013491,17648.39
1054432,17648.12
1071550,17647.22
1102515,17646.35
1084528,17644.94
1105607,17644.74
1039889,17644.06
1053066,17642.85
1084984,17641.64
1053474,17641.56
1047924,17640.42
1044620,17639.7
1088861,17636.61
1008224,17635.99
941564,17634.56
1076154,17633.56
968856,17632.44
1085873,17632.16
1040979,17629.16
972260,17626.94
1080840,17623.03
1058730,17622.465
974233,17622.36
1096027,17622.27
1036038,17622.0
1041704,17621.43
1103516,17620.75
947668,17619.68
1090390,17619.43
1043797,17618.47
1054416,17616.26
1027078,17615.78
1040300,17615.06
1028362,17614.15
1035294,17613.47
1080223,17610.43
1014361,17610.42
1044555,17606.57
1051505,17604.83
1072662,17603.3
1106466,17601.74
1093821,17601.56
1039341,17599.3
1050045,17596.79
964899,17595.92
1049060,17594.66
1027909,17593.97
975061,17593.41
1060282,17591.33
967902,17590.85
929278,17590.69
1074912,17589.61
986346,17588.05
1062708,17587.01
974250,17586.8
943435,17586.7
1021552,17584.95
974353,17584.38
1023047,17583.28
974552,17582.97
1019498,17582.92
1068817,17581.64
1034503,17581.55
940464,17581.21
1032831,17580.22
1043690,17580.06
965938,17579.82
925054,17579.26
944219,17579.05
1058057,17573.97
1030897,17572.82
1091387,17572.6
1085729,17571.52
1006636,17568.46
1090369,17568.24
1017656,17565.63
1038903,17565.3
953384,17564.46
1108988,17563.3
957372,17561.65
1037776,17561.47
1073275,17561.14
1046515,17560.84
1085367,17560.34
1100107,17560.12
1095253,17559.24
1030264,17558.23
1080112,17557.39
1047012,17556.15
1082583,17553.84
1080412,17553.72
936814,17550.86
1090847,17548.88
1092014,17547.44
1021386,17545.66
1032675,17544.89
916453,17543.21
1041165,17542.7
1038686,17541.93
948999,17540.9
1023402,17539.13
1036334,17537.92
1003275,17537.86
947682,17537.24
995042,17536.99
1053131,17536.67
947457,17536.05
995467,17534.0
1105899,17533.01
1040338,17532.08
1027443,17532.03
1050239,17531.29
955058,17526.14
1011461,17525.38
1114418,17523.94
1098830,17523.91
928707,17523.68
950690,17522.37
993735,17520.29
1016872,17517.8
1051869,17517.76
1008764,17517.37
1088752,17516.65
982644,17516.18
1019457,17515.95
998699,17515.33
1081900,17514.82
1032787,17513.54
967800,17512.83
1024910,17512.82
1092082,17512.6
945847,17512.07
1012672,17511.98
1023477,17511.66
972502,17509.58
1061189,17508.74
1051712,17504.47
1032337,17503.72
1054882,17503.66
1033004,17501.18
999388,17500.75
1084935,17498.96
1085546,17497.43
1026379,17497.32
1076270,17497.03
1009778,17495.88
930236,17495.22
1097367,17494.72
1081915,17491.34
1087144,17490.82
1072218,17488.3
895702,17487.96
957218,17486.17
1003797,17486.02
936306,17485.36
994973,17484.71
1013994,17484.18
1094889,17482.23
1013654,17478.88
1093423,17478.07
941118,17477.61
1095425,17477.49
940609,17476.74
1017895,17475.1
1035064,17473.52
1024173,17472.13
1055911,17470.33
1097500,17470.13
1071031,17468.96
964141,17468.94
929062,17467.78
1098350,17467.48
931276,17465.94
958922,17464.9
1022323,17463.92
1064774,17461.55
1120482,17461.22
1070549,17461.19
1036505,17460.44
1074139,17456.28
1087614,17454.93
930083,17453.84
1092576,17453.0
1077276,17452.42
1013485,17451.74
1072949,17451.04
1111775,17450.41
1023297,17450.36
1083689,17450.2
1037191,17447.6
949925,17446.93
1001845,17446.79
1078827,17443.17
1023348,17443.1
915489,17443.01
1090598,17442.32
1088616,17440.72
1091930,17439.64
1041367,17439.53
1001837,17438.22
1080803,17437.84
1077279,17435.82
953310,17435.2
939372,17434.85
957032,17433.24
973681,17431.33
956395,17428.96
959511,17428.63
996072,17428.58
1088015,17428.53
1084713,17426.79
956055,17426.29
946490,17425.73
974240,17424.18
959483,17423.82
1016429,17423.79
1064215,17421.08
1094714,17420.57
951886,17418.74
916953,17417.25
1005567,17417.11
1024709,17416.47
1059114,17415.18
1088066,17414.99
1075443,17414.97
1087248,17414.04
1030602,17413.86
1088750,17412.6
1038790,17410.81
939282,17409.8
967197,17408.31
923564,17407.31
1044501,17406.63
1082611,17403.97
1071110,17403.24
1032439,17402.6
999444,17401.64
910415,17399.15
1011858,17399.05
956982,17398.46
1088521,17397.53
993124,17397.44
1017072,17395.45
1070397,17395.26
1055021,17394.96
961152,17394.94
1091041,17394.69
1084190,17394.58
1019381,17393.55
1032120,17393.3
1053577,17393.2
1092341,17392.81
1030542,17392.34
947220,17391.19
1073100,17389.85
1087003,17387.54
959387,17386.13
965833,17385.6
1026737,17385.22
1073415,17384.06
1027404,17383.61
1060364,17383.57
1064058,17383.49
962802,17382.67
1095720,17382.21
1038157,17380.83
1009440,17380.73
937187,17380.72
1052301,17378.27
1031742,17377.33
1010279,17374.33
1004620,17373.26
1016435,17371.66
914286,17371.41
1031215,17370.93
910794,17369.67
966071,17369.56
1075781,17368.73
997873,17368.39
1015665,17368.23
942676,17367.66
1056228,17367.04
952475,17366.76
1062280,17366.35
1098574,17365.8
1078342,17363.62
938834,17362.98
1014156,17358.54
1055167,17355.35
935537,17354.25
982894,17354.19
1047595,17352.41
923927,17351.04
933196,17350.82
929741,17348.85
1020960,17347.38
993443,17347.31
1005681,17346.62
1040468,17346.27
1068998,17346.03
1083589,17344.93
1028193,17344.67
930582,17343.28
1065350,17342.76
1070609,17342.55
1102282,17342.08
1003351,17341.81
1079848,17340.99
1057585,17340.15
982452,17338.81
936028,17338.79
948098,17335.99
1016361,17335.31
981727,17334.06
1043518,17333.07
955083,17332.54
963691,17331.67
1106907,17328.77
1006182,17328.0
889307,17327.95
1074197,17327.82
1082105,17327.7
1005818,17327.5
1080548,17327.47
1001200,17327.04
989282,17326.32
938052,17325.99
997461,17325.45
940038,17324.36
1051738,17324.11
1041255,17320.15
1000335,17318.44
994547,17317.34
959134,17317.26
1012629,17317.25
1075419,17316.0
1015965,17315.5
928925,17314.87
915987,17312.96
1022640,17312.36
999090,17311.78
1042401,17311.07
1074738,17310.83
941909,17309.27
1046582,17309.25
1064437,17307.82
1065889,17307.06
1061332,17302.16
1070339,17301.63
1073688,17299.74
911783,17299.68
1064946,17299.22
1014424,17298.54
914687,17296.58
999714,17296.15
1090042,17294.36
1014951,17292.87
924594,17287.69
1086922,17287.6
982565,17285.99
934648,17282.92
1039524,17282.65
934550,17281.01
999361,17280.93
1072954,17279.56
1079400,17279.55
958096,17279.17
960761,17278.19
959648,17277.39
1003968,17276.39
1023956,17273.91
996707,17273.7
1023037,17273.54
1026312,17273.21
1019921,17273.1
1069450,17271.45
1019373,17271.28
1053237,17270.26
1009306,17269.31
987878,17268.62
1036643,17268.5
999296,17268.36
1070349,17268.34
1000782,17268.14
1009393,17266.96
959467,17265.1
1037929,17264.6
1073985,17262.79
970822,17261.04
921190,17258.61
1035426,17258.39
896918,17258.09
1033684,17257.65
1074824,17255.82
1030796,17255.76
952266,17255.73
1064026,17254.89
1035827,17254.56
940113,17254.4
1051064,17249.96
1003192,17249.45
1077635,17249.14
1025714,17248.59
932006,17248.12
993550,17247.52
1003565,17247.14
938000,17244.91
1081903,17244.67
876423,17244.26
947147,17243.3
1000831,17242.91
1088485,17242.39
